id,restaurant_id,review
1,188,The ambiance was cozy and inviting
2,936,The prices were reasonable for the portion sizes and quality of the food.
3,222,The restaurant had a great atmosphere
4,260,The food was delicious and the service was excellent.
5,538,The restaurant had a great atmosphere
6,985,The prices were reasonable for the portion sizes and quality of the food.
7,144,The staff was friendly and attentive
8,480,I would definitely recommend this restaurant to friends and family.
9,27,The portions were generous and the presentation of the dishes was beautiful.
10,334,The food was delicious and the service was excellent.
11,386,The prices were reasonable for the portion sizes and quality of the food.
12,521,I was disappointed with the quality of the food and the slow service.
13,759,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
14,993,The ambiance was cozy and inviting
15,245,The food was delicious and the service was excellent.
16,482,I was disappointed with the quality of the food and the slow service.
17,257,but the prices were a bit high.
18,588,The food was delicious and the service was excellent.
19,1,I had a wonderful dining experience and will definitely be returning in the future.
20,75,but the prices were a bit high.
21,950,I had a wonderful dining experience and will definitely be returning in the future.
22,296,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
23,920,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
24,799,I was disappointed with the quality of the food and the slow service.
25,514,I would definitely recommend this restaurant to friends and family.
26,802,The food was delicious and the service was excellent.
27,38,The staff was friendly and attentive
28,577,I would definitely recommend this restaurant to friends and family.
29,353,I would definitely recommend this restaurant to friends and family.
30,288,I was disappointed with the quality of the food and the slow service.
31,831,The prices were reasonable for the portion sizes and quality of the food.
32,604,The ambiance was cozy and inviting
33,9,The ambiance was cozy and inviting
34,966,The staff was friendly and attentive
35,540,The prices were reasonable for the portion sizes and quality of the food.
36,692,The portions were generous and the presentation of the dishes was beautiful.
37,117,I was disappointed with the quality of the food and the slow service.
38,930,The prices were reasonable for the portion sizes and quality of the food.
39,606,The ambiance was cozy and inviting
40,954,but the prices were a bit high.
41,209,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
42,572,but the menu options were limited.
43,732,but the menu options were limited.
44,271,making for a pleasant dining experience.
45,323,but the prices were a bit high.
46,472,but the menu options were limited.
47,862,The food was delicious and the service was excellent.
48,33,The food was delicious and the service was excellent.
49,935,The portions were generous and the presentation of the dishes was beautiful.
50,39,The ambiance was cozy and inviting
51,707,I would definitely recommend this restaurant to friends and family.
52,318,The ambiance was cozy and inviting
53,540,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
54,18,The prices were reasonable for the portion sizes and quality of the food.
55,432,The ambiance was cozy and inviting
56,833,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
57,639,I had a wonderful dining experience and will definitely be returning in the future.
58,88,The ambiance was cozy and inviting
59,247,The prices were reasonable for the portion sizes and quality of the food.
60,373,The restaurant had a great atmosphere
61,818,The prices were reasonable for the portion sizes and quality of the food.
62,107,The food was delicious and the service was excellent.
63,229,The prices were reasonable for the portion sizes and quality of the food.
64,788,but the menu options were limited.
65,268,The food was delicious and the service was excellent.
66,761,making for a pleasant dining experience.
67,51,The ambiance was cozy and inviting
68,873,I would definitely recommend this restaurant to friends and family.
69,968,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
70,264,I had a wonderful dining experience and will definitely be returning in the future.
71,881,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
72,916,I had a wonderful dining experience and will definitely be returning in the future.
73,375,I would definitely recommend this restaurant to friends and family.
74,756,but the menu options were limited.
75,107,The food was delicious and the service was excellent.
76,45,The restaurant had a great atmosphere
77,916,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
78,442,I was disappointed with the quality of the food and the slow service.
79,591,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
80,524,The food was delicious and the service was excellent.
81,740,I had a wonderful dining experience and will definitely be returning in the future.
82,514,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
83,428,The ambiance was cozy and inviting
84,817,but the prices were a bit high.
85,25,I would definitely recommend this restaurant to friends and family.
86,55,The prices were reasonable for the portion sizes and quality of the food.
87,229,I was disappointed with the quality of the food and the slow service.
88,808,but the prices were a bit high.
89,117,The portions were generous and the presentation of the dishes was beautiful.
90,92,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
91,434,I would definitely recommend this restaurant to friends and family.
92,556,making for a pleasant dining experience.
93,69,but the prices were a bit high.
94,767,but the menu options were limited.
95,59,The food was delicious and the service was excellent.
96,309,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
97,753,but the prices were a bit high.
98,856,I was disappointed with the quality of the food and the slow service.
99,942,The prices were reasonable for the portion sizes and quality of the food.
100,89,but the menu options were limited.
101,282,The portions were generous and the presentation of the dishes was beautiful.
102,5,The ambiance was cozy and inviting
103,170,The food was delicious and the service was excellent.
104,901,I was disappointed with the quality of the food and the slow service.
105,215,I was disappointed with the quality of the food and the slow service.
106,487,The portions were generous and the presentation of the dishes was beautiful.
